주제,내용,길이
 개봉 전 정보 (2),월트 디즈니 컴퍼니의 21세기 폭스 인수가 확정되었고 마블 스튜디오에서?R등급을 유지한 채 제작한다.,56
 개봉 전 정보 (3),《데드풀》의 원작자?롭 라이펠드는 본인이 직접 마블 스튜디오의 향후 5년간 라인업을 확인해본 결과 〈데드풀 3〉의 계획이 전혀 없는 상태라고 인터뷰에서 밝혔다. 당장 2020년에 제작 논의를 시작한다고 하더라도 4년은 지나야지 개봉할 수 있을 것이라 예상한다고. 이같은 상황에 대해 적잖이 실망한 듯한 그는 인터뷰 도중?케빈 파이기의 이름을 직접 언급하며 빈정상한 말투로 비꼬았다. ?#?그리고 실제 개봉 예정일이 공개되면서 롭의 말이 적중하게 되었다.,253
 개봉 전 정보 (4),"2020년 11월, 마블 스튜디오가 공식적으로 제작을 발표하였다. ?기존의 마블 스튜디오의 영화들과는 다르게 여전히 R등급을 유지한다고 한다. 하지만 다른 기사에서는 R등급과 PG-13등급으로 나눠 제작할 가능성도 있다고 한다. ?〈데드풀 2〉와 〈데드풀 2: 순한 맛〉의 관계처럼 갈 수도 있다.",166
 개봉 전 정보 (5),"2021년 1월, 케빈 파이기가 데드풀이 마블 시네마틱 유니버스에 편입될 것이라고 발표하였다. ?촬영은 2021년 이후에나 시작할 수 있을 것이라고 한다.",86
 개봉 전 정보 (6),"4월, 전작의 감독?데이비드 리치는 이 작품에 대해서 마블 스튜디오와 상의를 한 적이 없다고 밝혔다.",56
 개봉 전 정보 (7),"8월, 케빈 파이기 코믹북닷컴과의 인터뷰에서 라이언 레이놀즈와 작가진들이 각본 집필을 진행 중이라 밝혔다.",59
 개봉 전 정보 (8),라이언 레이놀즈는 이번 작품이 2022년 여름 즈음부터 촬영을 시작할 가능성이 있다는 말을 흘렸다.,55
 개봉 전 정보 (9),"전작의?도미노,?케이블이 합류할 것이라는 루머가 나왔다.",31
 개봉 전 정보 (10),"라이언 레이놀즈가 본인의 페이스북에 촬영장으로 보이는 장소에서 데드풀 의상을 착용한 듯한 사진을 업로드했다 삭제하는 일이 있었다. 그런데 함께 찍힌 사람 중에 〈닥터 스트레인지: 대혼돈의 멀티버스〉의 의상 디자이너로 추정되는 인물이 있어 데드풀이 해당 작품으로 마블 시네마틱 유니버스에 선행 데뷔할 가능성이 생겼다고 여겨졌으나, 결국 라이언 레이놀즈의 말대로 등장하지 않았다.",210
 개봉 전 정보 (11),"2022년 2월 15일, 라이언 레이놀즈는 런던의 〈애덤 프로젝트〉 특별 상영회 자리에서 〈닥터 스트레인지: 대혼돈의 멀티버스〉 출연을 부정하면서 데드풀 3 준비가 진행 중이라는 발언을 흘렸다.",108
 개봉 전 정보 (12),"라이언 레이놀즈의 부정에도 불구하고 그의 〈닥터 스트레인지: 대혼돈의 멀티버스〉 출연설이 다시 불거졌으며 데드풀은 물론 케이블, 도미노,?바네사 칼라일이 쿠키 영상 중 하나에 등장할 것이라는 구체적인 유출 루머가 나왔다.?X Corp 아이콘(블랙)?실제로는 그 누구도 출연하지 않았다.",159
 개봉 전 정보 (13),"3월 11일, 라이언 레이놀즈가 주인공으로 출연한 영화 〈프리 가이〉와 〈애덤 프로젝트〉를 연출한?숀 레비가 연출을 맡는 것이 확정되었다. ",78
 개봉 전 정보 (14),숀 레비의 인터뷰에 따르면 2022년에는 촬영이 없을 것이라고 한다.?X Corp 아이콘(블랙),53
 개봉 전 정보 (15),라이언 레이놀즈의 제작사인?맥시멈 에포트가 제작에 참여한다고 한다. ,38
 개봉 전 정보 (16),"3월 20일, 숀 레비가 자신의 SNS에 ""나는 정말 몰랐다""는 메시지와 함께?마크 러팔로와 라이언 레이놀즈가 함께 찍힌 사진을 업로드하며?헐크의 출연 가능성을 제기하는 시선이 생겼다. 한편, 러팔로 역시 〈애덤 프로젝트〉에 출연한 적이 있다.",136
 개봉 전 정보 (17),"4월 1일, 라이언 레이놀즈가 케빈 파이기와의 견해 차이로 이번 작품에서 하차했다는 만우절 장난식 게시물이 올라왔다.",65
 개봉 전 정보 (18),"5월 18일, 공식 트위터에?전작의?피터?사진과 함께 이번 작품의 브랜드를 정했고 다음은 캐릭터, 스토리, 각본 작업에 들어갈 것이라는 내용의 게시물이 올라왔다.",90
 개봉 전 정보 (19),"8월 4일, 1, 2편의 담당 트레이너 돈 살라디노의 인스타그램에 라이언 레이놀즈가 트레이닝하는 사진이 공개되었다.?인스타그램 아이콘?몸 만들기에 들어가면서 이번 작품 촬영 준비를 암시하는 게시물로 보인다. 8월 5일 공식 트위터에도 올라왔다.",136
 개봉 전 정보 (20),"9월 초, 북미 커뮤니티를 통해 흘러나온 루머에 의하면 2022?D23?엑스포 에서 이번 작품의 타이틀이 '맥시멈 이펙트'로 확정될 것이며?자시 비츠가 다시 도미노 역으로 재출연할 것이라는 발표가 있을 것이라고 한다. 또한 2024년 2월로 개봉일을 확정 지을 예정이었지만 실제로는 공개되지 않았다.",167
 개봉 전 정보 (21),웨일즈 코믹콘에 참석한?콜로서스?역의 배우 스테판 카피치치가 이번 작품에 출연한다고 언급했다는 루머가 공개되었다.?X Corp 아이콘(블랙),78
 개봉 전 정보 (22),"9월 27일, 라이언 레이놀즈의 SNS를 통해 이번 작품에?엑스맨 유니버스에서?울버린을 연기한?휴 잭맨이 7년 만에 다시 돌아오며?개봉일은 2024년 9월 6일로 정해졌다.?마블 기사?이후 추가 영상을 통해 로건은 2029년이 배경인 영화 〈로건〉에서 죽었고, 해당 부분은 분리되어 있어 이를 건드리지는 않으며, 이번 영화에서 새로운 이야기가 나올 것이라고 밝혔다. 후에 휴 잭맨은 한 인터뷰에서 이에 대해 〈데드풀 3〉에서 일어나는 사건들은 〈로건〉에서 일어난 사건 이전의 스토리라고 정리하였다.?X Corp 아이콘(블랙)",293
 개봉 전 정보 (23),톰 홀랜드의?스파이더맨이 카메오 출연을 할 것이라는 루머가 있다.?X Corp 아이콘(블랙),51
 개봉 전 정보 (24),T.J. 밀러는 복귀하지 않는다고 한다.,22
 개봉 전 정보 (25),마블 스튜디오는 이번 작품의 빌런 역으로 원작 코믹스에서 울버린의 아들로 등장하는?다켄을 고려 중이며 이를 위해 일본계 배우를 물색 중에 있다는 루머가 나왔다.,89
 개봉 전 정보 (26),"10월 11일, 개봉일이 기존 2024년 9월 6일에서 〈판타스틱 4〉의 개봉일이었던 11월 8일로 변경되었다.?마블 기사",68
 개봉 전 정보 (27),"루머에 의하면 다켄의 경우 엑스맨 유니버스 작품인 〈더 울버린〉 시점에 탄생한 인물로 설정될 것이며 데드풀의 작품임에도 울버린과 다켄의 서사에 힘이 실리는 스토리가 될 것이라고 한다. 결말부에서 데드풀은 마블 시네마틱 유니버스에 남아 다켄을 감시하게 되면서 마블 시네마틱 유니버스에 정착할 것이고, 울버린은 작중에서 모든 사건이 끝난 후 본인의 시간선으로 돌아가 〈로건〉에서 일어나는 사건을 맞이하게 될 것이라고 한다.?전체적인 분위기는 데드풀과 울버린이 우주를 탐험하며 마블 시네마틱 유니버스의 모든 작품을 놀리는 영화가 될 것이라고.",300
 개봉 전 정보 (28),오언 윌슨이 드라마 〈로키〉의 등장인물인?모비우스 M 모비우스?역으로 출연해 중요한 역할을 맡을 것이라는 루머가 나왔다.?X Corp 아이콘(블랙),82
 개봉 전 정보 (29),엑스맨 유니버스의?X-23을 연기했던?다프네 킨이 X-23 역으로 출연할 것이라는 루머가 있다.?X Corp 아이콘(블랙),68
 개봉 전 정보 (30),"영화의 제목이 아직 정해지지는 않았지만 '데드풀 3'가 아닌 '제목 미정의 데드풀 & 울버린 영화'란 리스트로 명시되어 있다.?X Corp 아이콘(블랙)?그리고 2023년 1월 초, 휴 잭맨이 이번 작품을 '울버린 & 데드풀'이라 지칭한 정황이 확인돼?X Corp 아이콘(블랙)?'울버린 & 데드풀'이 제목이 되는 것이 아니냐는 추측이 형성되었다.",194
 개봉 전 정보 (31),채닝 테이텀의 카메오 출연 루머가 있다.?본인이 의욕적으로 준비했으나 외적인 사정으로 엎어진 갬빗?역으로 출연할 수 있다고 한다.,72
 개봉 전 정보 (32),판타스틱 포 실사영화 시리즈에서?인비저블 우먼?역을 맡은?제시카 알바와?휴먼 토치?역을 맡은?크리스 에반스가 등장한다는 루머가 있다. 이유는 이번 작품의 컨셉이 '20세기 폭스?유니버스 죽이기(Kills the Fox Universe)'이기 때문.,138
 개봉 전 정보 (33),라이언 레이놀즈는 이번 작품의 전반적인 분위기는 두 명의 캐릭터가 벌이는 줄타기에 좌우될 것이라는 이야기를 흘렸다.,64
 개봉 전 정보 (34),"이번 작품은 멀티버스라는 개념이 마블 시네마틱 유니버스에 본격적인 영향을 미치기 시작하는 첫번째 작품으로써 기능할 것이며, 때문에 데드풀의 존재는 앞으로의 마블 시네마틱 유니버스 전개에 있어 상당히 중요해질 것이라는 루머가 나왔다.?X Corp 아이콘(블랙)",144
 개봉 전 정보 (35),"휴 잭맨의 출연이 공개된 직후 그가 여러 인터뷰를 통해 이번 작품에 대한 스포일러성 발언을 풀어놓는 것이 주목받고 있다. 모 인터뷰에서는 울버린이 데드풀의 머리를 많이 때릴 것이라고 말하기도?했으며?또 다른 인터뷰에서는 대본을 이미 읽었는데 이번 작품에 출연하는 울버린은 ""앵그리한"" 상태라는 말을 흘리기도 하였다.?X Corp 아이콘(블랙)?모 인터뷰에서는 본인이 울버린 역을 맡은 이후 처음으로 착용해보는 복장을 입어봤다는 말을 흘리기도 하였다.",251
 개봉 전 정보 (36),엠마 코린이 이번 작품의 메인 빌런으로 등장한다. ,28
 개봉 전 정보 (37),앞서 나온 오언 윌슨의 모비우스 M 모비우스 역으로의 출연에 대한 루머에 더해?미스 미닛의 성우를 맡은?타라 스트롱?또한 동일한 역으로 나올 수 있다는 루머가 나왔다.?유튜브 아이콘?이 루머에 대해 스트롱은 자신은 아는 바가 없지만 만약 출연이 이루어질 경우 흥미로울 것 같다는 반응을 보였다.?유튜브 아이콘,172
 개봉 전 정보 (38),콜로서스 역의 스테판 카피치치와 바네사 칼라일 역의?모레나 바카린의 복귀가 확정되었다고 한다. ,53
 개봉 전 정보 (39),엑스포스 멤버 중 피터 역을 맡았던 롭 델라니가 같은 배역으로 출연한다는 보도가 나왔다. ,50
 개봉 전 정보 (40),"할리 베리,?팜케 얀센,?제임스 마스던이 각각 엑스맨 유니버스의?스톰,?진 그레이,?사이클롭스?역으로 복귀한다는 루머가 있다.",70
 개봉 전 정보 (41),도미노 역의 자시 비츠는 이번 작품에 복귀하지 않는다고 밝혔다.,35
 개봉 전 정보 (42),"2023년 6월 14일,?2023년 미국작가조합 파업의 여파로 이번 작품에 앞서 개봉할 예정이었던 〈썬더볼츠〉, 〈블레이드〉의 제작이 중단되면서 이미 촬영에 들어간 이번 작품의 개봉이 2024년 5월 3일로 앞당겨졌다.",122
 개봉 전 정보 (43),2003년 영화 〈데어데블〉에서?데어데블을 연기한?벤 애플렉이 이번 작품의 촬영장에서 목격되었다는 루머가 있다. 반면 이것이 그의 이번 작품 출연까지는 아니라는 루머도 나왔다. ,99
 개봉 전 정보 (44),"7월 6일,?채닝 테이텀의?갬빗?촬영이 있었다는 루머가 나왔다.?X Corp 아이콘(블랙)",50
 개봉 전 정보 (45),"7월 7일,?제니퍼 가너가?2005년 영화?속에서 맡았던?엘렉트라로 출연하는 것이 확정되었다.?",53
 개봉 전 정보 (46),"7월 10일, 라이언 레이놀즈의 인스타그램에 데드풀과 울버린의 사진이 처음으로 공개되었다. 해당 사진에는 코믹스 기반의 노란색 슈트를 입은 휴 잭맨과 박살나고 버려진 20세기 폭스 구조물 등이 찍혀 있다. ?#?20세기 폭스 구조물 외에도 배와 비행선의 잔해물이 촬영장에서 확인되었는데 해당 장면의 장소는 〈로키〉에 등장했던?보이드라고 한다.?디시인사이드 아이콘?사실상 이번 작품에서?TVA의 등장 가능성이 아주 높아진 셈이다.",239
 개봉 전 정보 (47),〈닥터 스트레인지: 대혼돈의 멀티버스〉에 등장했던?지구-838이 재등장한다는 루머가 있다. ,51
 개봉 전 정보 (48),"7월 14일,?미국배우조합?파업으로 인해 촬영이 중단되었다. ?당장 2024년 5월 개봉을 앞두고 있는 상황에서 파업이 언제 끝날지 알 수 없기 때문에 개봉이 연기될 가능성이 높다. 그리고 8월 9일, 디즈니의 2023년 3분기 실적 발표 자리에서 공개된 향후 1년간의 극장 개봉 작품 목록에서 빠졌다.?PDF 아이콘",177
 개봉 전 정보 (49),키드풀의 등장 루머가 있다.?워커 스코벨이 키드풀 역으로 이번 작품에 출연할 것이라는 X (구 트위터)발 루머에 라이언 레이놀즈가 좋아요를 누른 것이 확인되었다. ,91
 개봉 전 정보 (50),"9월 8일, 대략적인 줄거리에 대한 루머가 나왔다. 붕괴하는 여럿 세상 속에서 TVA가 영웅들을 골라 새로운 지구, 즉 '배틀월드'라는 이름의 유니버스로 이들을 보낸다고 하며, 엑스맨 유니버스에서 선택된 울버린이 투옥된 데드풀과 함께 모험을 떠나는 내용이라고 한다. 또한 이후 〈어벤져스: 시크릿 워즈〉로 곧장 이어질 것이라고 한다.?X Corp 아이콘(블랙)",201
 개봉 전 정보 (51),"9월 10일,?다니엘 래드클리프가 '비밀 배역'으로 출연한다는 루머가 나왔다. ",44
 개봉 전 정보 (52),"10월 1일, 라이언 레이놀즈의 인스타그램 스토리에 데드풀과 모터바이크가 있는 사진이 올라왔다. 슈트를 전편에서 태운 것으로 보인다.?X Corp 아이콘(블랙)",89
 개봉 전 정보 (53),"10월 13일, 데드풀과 울버린이 옛 엑스맨의 빌런들과 싸워야 하는 차원에 갇히고, 결말 부분에서 데드풀은 바네사 칼라일을 잊기 위해 마블 시네마틱 유니버스에 합류한다는 루머가 나왔다.?X Corp 아이콘(블랙)",118
 개봉 전 정보 (54),"10월 20일, 마블 스튜디오가 미국배우조합 파업이 지속됨에 따라 2024년 5월 3일로 예정했던 개봉을 연기했다는 보도가 나왔다. 설령 파업이 근시일 내로 종료되더라도 개봉일을 다시 앞당기지 않을 것이며, 대신 해당 일자에는 다음 작품인 〈캡틴 아메리카: 브레이브 뉴 월드〉를 앞당겨 개봉할 것이라고 한다. 그러나 아직 마블 스튜디오 측에서의 공식적인 발표는 없는 상황이다. ",211
 개봉 전 정보 (55),"11월 9일, 라이언 레이놀즈가?도그풀의 출연을 암시함과 동시에 2024년 여름에 개봉한다고 밝혔다.?X Corp 아이콘(블랙)?다음 날, 마블 스튜디오는 이번 작품을 포함한 다수 영화의 개봉일 변경을 발표하며 2024년 7월 26일로 개봉을 연기했고, 타?페이즈 5?작품들이 2025년으로 개봉이 미뤄짐에 따라 2024년에 개봉하는 유일한 마블 시네마틱 유니버스 영화가 되었다. ?마블 시네마틱 유니버스 영화가 1년에 한 편만 개봉하게 된 것은 〈어벤져스〉만 개봉했던 2012년 이후 12년 만이다.",280
 개봉 전 정보 (56),"11월 24일, 중단 133일 만에 촬영이 재개되었다.?X Corp 아이콘(블랙)",45
 개봉 전 정보 (57),"12월 6일, 계속되는 촬영장 사진 유출에 대해 라이언 레이놀즈가 이를 멈춰줄 것을 당부하는 내용이 담긴 성명을 발표하였다.?페이스북 아이콘?다음날에는 촬영장 사진에?프레데터,?미키 마우스?등을 합성한 가짜 이미지를 자신의 X (구 트위터)에 대거 올리기도 하였다.?X Corp 아이콘(블랙)?X Corp 아이콘(블랙)?X Corp 아이콘(블랙)?X Corp 아이콘(블랙)?X Corp 아이콘(블랙)",223
 개봉 전 정보 (58),"2024년 1월 20일, 울버린이 마스크를 쓰고 있고 데드풀과 함께 있는 프로모션 아트가 공개되었다.?X Corp 아이콘(블랙)",71
 개봉 전 정보 (59),"1월 24일, 모든 촬영이 종료되었다.?인스타그램 아이콘",31
 개봉 전 정보 (60),"2월 11일, 티저 예고편의 공개와 함께 제목이?'데드풀과 울버린(Deadpool & Wolverine)'으로 확정되었다.",68
 개봉 전 정보 (61),"2월 13일, 엠마 코린이 맡은 불명의 메인 빌런 역할이?카산드라 노바라는 사실이 미 특허청 웹사이트를 통해 밝혀졌다. ",67
 개봉 전 정보 (62),"4월 12일, 전미극장주협회 (NATO)가 주관하고 미국 극장 관계자들을 대상으로 하는 연례 행사인 시네마콘 (CinemaCon)에서 9분 가량의 푸티지 영상이 공개되었다.?X Corp 아이콘(블랙)?이 자리에서 케빈 파이기는 청중들에게 이번 작품이 ""정말 굉장하다 (It's fucking awesome)""며 R등급이 될 것임을 수차례 재확인하였다.",196
 개봉 전 정보 (63),"한편?테일러 스위프트가?대즐러?역으로 출연한다는 루머가 있었는데, 시네마콘에서 인터뷰어로부터 관련 질문을 받은 숀 레비는 이에 대해 말할 수 없다며 긍정도 부정도 하지 않았다. 이후 6월 10일 엔터테인먼트 위클리의 단독 보도를 통해 스위프트는 이번 작품에 출연하지 않는 것으로 밝혀졌다. ",162
 개봉 전 정보 (64),"4월 말, 마블과 관련해 여러 루머들을 제기했던 모 소식통이 〈엑스맨 2〉 시점의 울버린과 〈로건〉 시점의 울버린이 이번 작품에서 다뤄질 수 있으며, 다른 루머에서 거론되었던 헨리 카빌과 다니엘 래드클리프 외에도?태런 에저턴과 리브 슈나이더가 변종 캐릭터로 등장할 수 있다는 루머를 제기하였다.",164
 개봉 전 정보 (65),"6월 5일,?미국영화협회?등급관리국(CARA)이 '강력한 유혈 폭력과 언어, 고어 및 성적 언급(strong bloody violence and language throughout, gore and sexual references)'을 이유로?이번 작품을 공식적으로 R등급으로 분류하였다.",161
 개봉 전 정보 (66),모 스쿠퍼가 닥터 스트레인지가 이번 작품에 출연할 것이라는 루머를 제기하였다.,43
 개봉 전 정보 (67),"숀 레비와 두 주연 배우가 진행한 모 매체와의 인터뷰에서 이번 작품이 〈데드풀 2〉 이후로 6년 가량 지난 시점에서 시작하며 데드풀은 히어로로서의 자신을 내려놓고 중고차 딜러로 일하고 있고, 바네사 칼라일과는 헤어진 상태일 것이라는 사실이 알려졌다. 레비는 또한 데드풀의 다음 팀업 파트너로 스파이더맨을 지목하며 그 영화 역시 내가 만들고 싶다는 의사를 드러냈다.",203
 개봉 전 정보 (68),"6월 26일, 라이언 레이놀즈가 자신의 인스타그램에?아나키즘?로고가 덧입혀진?어벤져스?깃발이 휘날리는 동영상을 게시하였다.?인스타그램 아이콘?이후 공개된 중국판 예고편에서 해당 깃발이 카산드라 노바의 기지에 있는 것이 확인되었다.",128
 개봉 전 정보 (69),카산드라 노바에게 조종당하는 〈토르: 라그나로크〉 시점의 헐크 변종이 등장하며 울버린과의 결투 장면이 있을 것이라는 루머가 나왔다.,73
 개봉 전 정보 (70),프로페서 엑스가 카메오로 등장할 것이라는 소식을 다룬 데드라인 기사가 업로드 이후 얼마 안 가 삭제된 정황이 확인되었다.,67
시놉시스,"히어로 생활에서 은퇴한 후, 평범한 중고차 딜러로 살아가던 ‘데드풀’이 예상치 못한 거대한 위기를 맞아 모든 면에서 상극인 ‘울버린’을 찾아가게 되며 펼쳐지는 도파민 폭발 액션 블록버스터",104
기타 (1),사실 오래 전부터 제작이 결정되어 있었지만?20세기 폭스가?월트 디즈니 컴퍼니에 인수되면서 발생한 문제로 계속 미뤄졌었다.,68
기타 (2),"월트 디즈니 컴퍼니의 21세기 폭스 인수가 완료되기 이전에도 제작 예정 작품 중 하나로 이번 작품이 있었는데, 본래 20세기 폭스가 제작하려던 3편은 데드풀과?로건이 함께 〈라쇼몽〉 스타일로 로드 트립을 떠나는 내용이었다고 한다.?X Corp 아이콘(블랙)?이후?도핀더?역의?카란 소니가 인터뷰에서 추가적으로 데드풀과 친구들이 크리스마스를 살리려는 내용이었다고 밝혔다. ",207
기타 (3),"월트 디즈니 컴퍼니의 21세기 폭스 인수 후 라이언 레이놀즈는?케빈 파이기에게 서로 다른 18가지 버전의 영화 아이디어들을 제안했다고 한다.?개중에는 앞서 설명된 〈라쇼몽〉 스타일의 버전도 있었고,?선댄스 영화제에서 나올 법한 저예산 독립영화 스타일의 버전도 있었다고 한다. ",154
기타 (4),엑스맨: 최후의 전쟁?이후로?케빈 파이기가 오랜만에 제작에 참여하는 엑스맨 유니버스 배경 작품이기도 하다.,59
기타 (5),케빈 파이기는 멀티버스 사가 이후?뮤턴트 사가가 진행될 것이라고 밝히면서 이번 작품을 기점으로?마블 시네마틱 유니버스에 본격적으로 뮤턴트 시대가 찾아올 것이라 예고하였다. 또한 〈어벤져스: 인피니티 워〉와 〈어벤져스: 엔드게임〉이 이후 마블 시네마틱 유니버스에 미친 영향을 9~10점으로 잡으면 이번 작품은 이후 마블 시네마틱 유니버스에 8점 정도의 파급력을 지닐 것으로 보았다. ,213
기타 (6),"라이언 레이놀즈와?휴 잭맨?모두?숀 레비와 작품을 같이 찍은 적이 있다. 레이놀즈는 〈프리 가이〉와 〈애덤 프로젝트〉를, 잭맨은 〈리얼 스틸〉을 찍었다.?두 배우와 합이 잘 맞자 감독은 〈리얼 스틸 2〉가 나온다면 잭맨은 물론 레이놀즈도 주연으로 같이 캐스팅하고 싶다고 말했는데, 〈리얼 스틸 2〉는 아니지만 결과적으로 이번 작품에서 세 사람이 다시 만나게 되었다.",204
기타 (7),"휴 잭맨 울버린의 공식 은퇴작이었던 〈로건〉을 연출한?제임스 맨골드는 내심 울버린이 다시 복귀하지 않기를 바라는 마음이 있었지만?자신의 의지와 상관없이 돈이 되는 한 울버린이라는 프랜차이즈는 계속될 것이라고 말하며, 자신은 여전히 〈로건〉을 울버린 스토리의 마지막으로 여기고 있다고 말하였다. ?그리고 케빈 파이기 역시 잭맨이 〈로건〉으로 은퇴했을 당시 완벽한 엔딩으로 끝을 맺었던 그에게 절대로 다시 울버린으로 복귀하지 말라고 조언했다고 한다.",249
기타 (8),"이후 밝혀진 바로는 이번 작품의 원래 초기 계획은 〈데드풀 2〉의 후속편에 더 가까웠으나, 휴 잭맨 쪽에서 먼저 연락이 와 지금과 같은 내용이 됐다고 한다. 〈데드풀〉을 본 잭맨이 울버린과 함께 나오는 영화를 찍으면 참 좋겠다는 생각을 가지고 있었는데, 어느날 이를 참을 수 없어 레이놀즈에게 무작정 전화를 걸어 같이 하자고 말한 것. 제임스 맨골드의 우려와 달리 울버린의 복귀는 돈이나 인기 때문이 아닌 순전히 잭맨 본인의 의사였던 셈. ?#?원래는 2018년 즈음에 레이놀즈가 처음 울버린의 복귀 아이디어를 제안했을 당시 케빈 파이기는 그것이 현실적으로 불가능한 일이라고 생각해 반려했다고 한다. 그 후 레이놀즈는 세 번째 항목에 서술된 여러 가지 영화 아이디어를 파이기에게 다시 제안했으나 좀처럼 진전이 없었고, 결국 모든 아이디어가 소진되어 제작 일정을 연기하려던 찰나에 잭맨이 직접 전화를 걸어 복귀 의사를 밝힌 덕분에 현재의 콘셉트로 나아갈 수 있었다고 한다. ?#?다만 파이기는 위에 서술되었다시피 그에게 울버린으로 복귀하지 말라는 조언도 했던 적이 있는 만큼 처음에는 이를 반대했으나, 잭맨의 의지가 워낙 강해 결국 승낙하였다.",583
기타 (9),참고로 숀 레비와 제임스 맨골드는 친분이 있다. 그것도 〈로건〉을 본 직후 엔딩의 감흥에 젖은 레비가 무작정 연락한 것을 계기로 생긴 것이라고 한다.?류승완 감독과의 인터뷰 영상을 통해 이 영화를 만들기 전 휴 잭맨과 더불어 맨골드와 깊은 이야기를 미리 나누었다고 말하는 내용이 공개되기도 하였다.,166
기타 (10),숀 레비의 말에 따르면 이번 작품의 가장 중요한 장면 중 하나는 〈스타워즈: 제다이의 귀환〉 중?루크 스카이워커와?다스 베이더의 대결 장면에서 영감을 받아 만들어졌다고 한다. ,98
기타 (11),당초?로버트 다우니 주니어도 카메오 출연할 예정이었고 라이언 레이놀즈가 직접 대사를 작성해 대본 리딩까지 한 상태였으나 제작 도중〈어벤져스: 둠스데이〉의 메인 빌런인?닥터 둠으로 캐스팅되면서 출연이 무산되었다고 한다. ,122
기타 (12),"숀 레비의 말에 따르면 작중 데드풀이 외치는 ""내가 구세주야. 내가 바로... 마블의 예수님이야"" 라는 대사는 원래 큰 의미없이 그냥 재밌으라고 썼던 것인데, 그 대사를 작성한 이후에 나온?마블 시네마틱 유니버스?영화들이?줄줄이 부진을 겪으면서?실제로 이번 작품이 추락하는 마블 시네마틱 유니버스를 구할 구세주처럼 여겨지는 상황이 온 것에 대해 본인도 놀랐다고 한다. ",206
기타 (13),"영화 내용이 현재 마블 시네마틱 유니버스가 처한 상황과 놀랍도록 비슷한 전개로 흘러가는 것 또한 흥미로운 점이다. 세계관에서 주축 인물이 죽으면 타임라인 자체도 죽는다는 설정은 아이언맨,?캡틴 아메리카?등 주요 배역이 빠진 후 내리막을 걷고 있는 마블 시네마틱 유니버스의 모습과 일치하며, 죽은 주축 인물을 대체하기 위해 다른 세계관에서 해당 캐릭터를 데려와 타임라인을 살리려는 노력은 마블 스튜디오가 기존의 입장을 번복하고 그 주축 인물 중 한 명을 연기했던?배우를?다른 캐릭터로, 〈어벤져스: 인피니티 워〉와 〈어벤져스: 엔드게임〉으로?인피니티 사가를 성공적으로 마무리한?감독까지 복귀시키는 결정을 한 것과 일치한다. 물론 '마블 예수' 대사가 폭발적인 반응을 얻은 것에 놀라던 숀 레비의 반응을 생각하면 마블 시네마틱 유니버스의 현 상황을 실제로 염두에 두고 만들었을 가능성은 낮으나, 마블 시네마틱 유니버스의 미래가 아직은 그리 밝아보이지 않은 상황이다보니 우연치 않게 맞아떨어진 셈이다.",501
