주제,내용,길이
인기 및 기록 2,"데뷔 9개월 만에 멤버 전원이 글로벌 럭셔리 명품 브랜드의 엠버서더가 되었다. GUCCI와 아르마니 뷰티의 글로벌 엠버서더 하니, Louis Vuitton의 글로벌 엠버서더 혜인, BURBERRY 글로벌 엠버서더와 입생로랑 뷰티의 엠버서더 다니엘, CHANEL의 코리아 엠버서더 민지, DIOR의 글로벌 및 하우스 엠버서더 해린.",184
인기 및 기록 3,"NewJeans의 데뷔 앨범 두 번째 타이틀곡인 Hype Boy를 주제로 한 뉴진스의 하입보이요 밈은 인스타그램 릴스, 유튜브 쇼츠, 틱톡 등을 중심으로 크게 유행했다. 해당 밈을 인용한 기사까지 있을 정도",115
인기 및 기록 4,"2NE1, 미쓰에이, aespa, IVE와 함께 신인상과 대상을 동시에 수상한 5번째 그룹이다.",53
인기 및 기록 5,"NewJeans의 타이틀곡 중 제일 먼저 공개되었던 Attention이 데뷔하자마자 미국 차트쇼에서 1위를 했고, 2022년 8월 9일 23시에 멜론 차트 개편 이후 최초로 데뷔곡으로 1위를 달성했으며 멜론 차트 개편전으로 봐도 예능 방송 음원이 아닌 아이돌 데뷔곡의 경우 2017년 Wanna One의 에너제틱 이후 무려 5년만이며, 걸그룹으로는 2016년 BLACKPINK의 휘파람 이후 6년만에 달성한 대기록이다. ",235
인기 및 기록 6,"심지어 이용자 수가 폭증하여 2022년 역대 일간 이용자 수가 BIGBANG의 '봄여름가을겨울'에 이어 2위를 달성했다. Spotify에서는 '누적 재생 수', '누적 청취자 수', '누적 팔로워 수' 3개 부문 모두 2022년에 데뷔한 K팝 걸그룹으로서 최고 기록을 달성했고 한국 스포티파이에서 주간 차트 진입과 동시에 1위를 달성했다. 그리고 대한민국 최초로 데뷔곡 Attention으로 미국 스포티파이 차트에 183위로 진'에 성공했으며, 빌보드 Global 200 차트에서 Attention 82위, Hype Boy 116위로 진입했고, 빌보드 Global 200 (미국제외) 차트에서는 Attention 51위, Hype Boy 64위로 각각 진입했다.",370
인기 및 기록 7,"데뷔 음반 New Jeans는 사흘 만에 선주문 44만 장을 돌파해 걸그룹 역대 데뷔 음반 선주문 최고 신기록을 경신했고, 8월 8일 단 하루만에 26만 2,8**장을 팔아서 역대 걸그룹 데뷔 음반 1일차 최다 판매량을 기록했다. 걸그룹 데뷔 앨범 중 유일하게 발매 당일 판매량 20만 장 돌파, 일주일만에 311,2**장 판매로 대한민국 역대 걸그룹 데뷔 초동 신기록을 경신했다.[14] 또한 2023년을 기준으로 누적 판매량이 100만장을 돌파했으며, 데뷔 앨범의 판매량이 100만장을 돌파한 경우는 그룹으로서 1997년 젝스키스 이후 약 26년만의 기록이다.",315
인기 및 기록 8,"2022년 12월 31일, 데뷔 약 5개월 만에 스포티파이 한국 '주간 톱 아티스트'(집계 기간 12월 23~29일) 1위에 올랐다. 이로써 뉴진스는 2016년 이후에 데뷔한 K-POP 그룹 중 유일하게 해당 차트에서 1위에 등극했다.",131
인기 및 기록 9,데뷔 앨범에 수록된 4개의 곡 중 3개가 각종 음원 차트 10위권 이내에 랭크되었다.,47
인기 및 기록 10,"2022년 12월 19일, 발매된 Ditto는 현재 각종 음원 차트에서 14주 연속 1위의 기록을 세웠으며, 역대 걸그룹 최다 일간 1위 횟수를 기록했다.[15] 또한 공개하자마자 일간차트 1위를 달성했으며, 멜론차트 역사상 4번째로 발매 후 바로 일간차트 1위로 진입한 아이돌 그룹 곡이 되었다. 싱글 1집 OMG의 초동 기록은 약 70만장으로, 활동 단 두 번만에 역대 걸그룹 초동 4위에 해당하는 기록을 달성했다.",234
인기 및 기록 11,"2023년 1월 4일, 국내 음원 차트 점유율 1위인 멜론의 실시간 차트 1, 2, 3위를 석권했으며 일간 차트, 주간 차트는 물론 월간 차트까지 1, 2, 3위를 석권했다",96
인기 및 기록 12,"2023년 1월 16일, 국내 음원 차트 점유율 1위인 멜론의 주간 차트에서 1, 2, 3, 7위를 기록하며 10위 내에 4곡 ( Ditto, OMG, Hype Boy, 그리고 Attention)을 포진시킨 역대 두 번째 그룹이 되었다 (2023년 1월 9일~ 1월 15일)",153
인기 및 기록 13,"2023년 2월 1일, 멜론 월간 (2023년 1월) 1위 Ditto , 2위 OMG , 3위 Hype Boy로 2012년 버스커 버스커, 2014년 MC몽에 이어 약 9년만에 역대 3번째로 멜론 월간 1, 2, 3위를 한 가수가 독차지하는 대기록을 달성했다. 이 기록은 앞선 기록들과 비교해보면 더 대단한데, 세 곡의 발매일자가 각기 다를 뿐만 아니라 3위를 차지한 Hype Boy의 경우 2022년 7월에 발표된 이미 6개월이 넘은 곡이라는 점이다. 앞선 두 기록은 모두 같은 앨범에서 나온 곡들이었다. 뿐만 아니라, 월간 10위권까지 넓히면 7위에 데뷔곡인 Attention이, 20위권안에는 역시 2022년 7월에 발표된 Cookie가 16위에 포진되어 있어 데뷔이래 거의 모든 곡이 20위권안에 포함되는 성적을 보여주었다.",409
인기 및 기록 14,"국내뿐 아니라 해외 인기도 심상치 않다. 2023년 1월 18일, 'Ditto'가 빌보드 핫 100에 96위로 진입했다.[18] 다른 아이돌그룹들이 보통 데뷔 후 수년간 쌓아온 팬덤을 기반으로 빌보드에 입성한데 비해, NewJeans의 기록은 이례적인 것으로 평가받고 있다. 또한 'OMG'가 빌보드 핫 100에 91위로 진입한 동시에 'Ditto'는 85위로 순위가 상승, 핫 100 주간차트에 두 곡을 올려놓았다. K-Pop 역사상 이 차트에 두 곡 이상을 진입시킨 아티스트는 방탄소년단과 BLACKPINK가 유일하다. 'Ditto'는 1월 셋째주 기준, 빌보드뿐만 아니라 영국 오피셜 싱글 차트 '톱 100'에 2주 연속 진입하기도 했다.",360
인기 및 기록 15,"2023년 2월 2일, 전 음원 사이트에서 Ditto가 1위를 기록한 횟수가 방탄소년단의 히트곡 Dynamite가 세운 종전 최다 기록인 610회를 돌파하며, PAK(Perfect All-Kill)횟수 1위를 기록했다. 총 655회로 현재 걸그룹 및 국내 가수 역대 최다기록이다.",156
인기 및 기록 16,"2023년 2월 21일, 스트리밍업체 Spotify에서 역대 K-POP 여성 아티스트 중 최다 미국 스포티파이 스트리밍 1위를 Ditto가 2위를 OMG가 차지하는 신기록을 세웠다. (현재 진행 중)",111
인기 및 기록 17,"2023년 3월 25일, 멜론 차트에서 1위 Ditto, 2위 OMG, 3위 Hype Boy가 14주 연속 1, 2, 3위를 지키면서 멜론 차트 역대 최장기이자 연속 기간인 14주 연속 1위를 차지한 곡이 되었다. 뿐만 아니라 Attention이 6위로 계속 10위권에 네 곡을 진입시키고 있는 진기록을 썼다.",173
인기 및 기록 18,"2023년 2월 27일, 벅스 차트에서 Ditto가 벅스 차트 역대 최장기이자 연속 기간인 14주 연속 1위를 차지한 곡이 되었다.",73
인기 및 기록 19,"2023년 3월 1일, 멜론 차트에서 역대 최초로 월간 top3를 두 달 연속으로 기록(Ditto, OMG, Hype Boy)했고 데뷔 이래 최단 기간 만에 2달 연속 월간 top3를 차지했다.",108
인기 및 기록 20,"2023년 3월 6일, Ditto가 멜론 차트 역사상 일간 차트에서 가장 많이 1위를 차지한 곡이 되었다. 77회 연속 1위를 차지해 방탄소년단의 히트곡 '다이너마이트'(Dynamite)가 세운 종전 최다 기록인 75회를 넘어섰다. 이 기록은 2023년 3월 27일까지 계속되어 99일 연속 (2022년 12월19일~ 2023년 3월27일) 일간차트 1위를 차지한 역대 최장기 1위 기록을 남겼다.",222
인기 및 기록 21,"2023년 3월 19일, 써클차트(구 가온차트) 차트에서 역대 최초로 월간 TOP 3를 두 달 연속으로 기록(Ditto, OMG, Hype Boy)했고 데뷔 이래 최단기간만에 2달 연속 월간 top3를 차지했다. 한국음악콘텐츠협회 측에 따르면 이는 써클차트의 전신인 가온차트가 데이터를 집계한 2010년 이래 최초의 기록이다. (1월은 Ditto가, 2월은 OMG가 1위를 차지했다.)",215
인기 및 기록 22,"2023년 4월 2일, 멜론 차트에서 역대 최초로 월간 TOP 3를 세 달 연속 (1, 2, 3월)으로 기록(Ditto, OMG, Hype Boy)했다. 한 아티스트가 신곡과 전작 구분 없이 차트 최상위권을 3개월 동안 휩쓴 것은 2004년 11월 멜론 음원 서비스가 시작된 이래 처음이며 이로써 NewJeans는 멜론의 2023년 1분기를 장악했다.",196
인기 및 기록 23,"2023년 4월 2일, SBS 인기가요에서 전해인 2022년 7월 23일 발매된 Hype Boy가 1위를 차지했다. 발매후 8개월이 지난 곡이 공중파 1위를 차지한 것이다. 이 기록이 대단한 이유는 이 정도로 발매일과 차트성적의 갭이 클 경우 어떤 긍정적인 사건의 발생에 힘입어 잊혀졌던 곡이 차트에 재진입하는 속칭 음원차트 역주행의 형태가 대부분인데 비해, 하입보이의 경우 발매당시에는 자신들의 또다른 히트곡인 Attention, 그리고 2023년에는 신곡인 Ditto와 OMG 때문에 1위에 못 올랐을 뿐, 꾸준히 차트 2~5위내에 거의 8개월간 머무르고 있다가 1위를 차지한 경우라 매우 드문 현상이라 할 수 있다.",347
인기 및 기록 24,"2023년 4월 4일, 코카콜라와 협업한 광고음악(CM송)인 Zero가 지니 실시간차트 1위, 벅스 실시간 차트 3위, 멜론 '톱 100' 차트에서 4위, 한국 유튜브 '인기 급상승 동영상' 1위 등을 차지하는 등 CM송으로서는 이례적인 음원성적을 거두었다.",144
인기 및 기록 25,"2023년 4월 23일, NewJeans가 중국 QQ뮤직 2023년 1분기 피크 차트 톱10 아티스트에 선정됐다. 또 이들의 싱글 앨범 OMG의 수록곡 Ditto가 톱10 노래로 꼽혔다고 밝혔다. 피크 차트 톱10 아티스트와 노래 부문에 이름을 올린 K팝 가수는 NewJeans가 유일하다.",162
인기 및 기록 26,"2023년 4월 26일, Ditto가 발매 126일만에 세계 최대 음원 플랫폼 스포티파이에서 스트리밍 횟수 3억 건을 돌파했다. 이로써 NewJeans는 4세대 K-POP 걸그룹 최초로 스포티파이에서 3억 스트리밍 곡을 보유하게 됐다. 스포티파이에 공개된 NewJeans의 노래는 누적 스트리밍 횟수가 13억 건을 돌파했다.",181
인기 및 기록 27,"2023년 4월 27일, OMG가 발매 115일만에 세계 최대 음원 플랫폼 스포티파이에서 스트리밍 횟수 3억 건을 돌파했다. 선공개곡이었던 Ditto보다 11일 단축시킨 기록이다.",100
인기 및 기록 28,"2023년 5월 1일, NewJeans가 미국 비영리단체 골드하우스가 발표한 2023년 '미국에서 가장 영향력 있는 아시아인 100인'에 선정됐다. 골든하우스는 NewJeans를 두고 ""솔직하고 독창적인 음악으로 K-POP의 지평을 넓힌 그룹""이라며 ""최근 글로벌 히트곡 'Ditto'와 'OMG'로 빌보드 '핫100' 차트에 진입하는 등 여러 기록을 세우고 있다""고 선정 이유를 밝혔다.",217
인기 및 기록 29,"2023년 5월 2일, '포브스코리아 파워 셀러브리티 40' 차트에 27위로 신규 진입했다.",51
인기 및 기록 30,"2023년 5월 3일, NewJeans의 Ditto가 공개된 지 19주 만에 일본 오리콘 차트에서 1억 스트리밍을 달성했다. 해외 여성 아티스트로서는 최단 기록이며, 남녀 통틀어서는 역대 4위이다.",110
인기 및 기록 31,"2023년 5월 3일, Hype Boy가 세계 최대 음원 플랫폼 스포티파이에서 스트리밍 횟수 3억 건을 돌파했다. 세 번째 3억 스트리밍 곡이다.",81
인기 및 기록 32,"2023년 5월 9일, K-POP 가수 중 219일만에 최단 기간으로 스포티파이 합산 누적 10억 스트리밍을 달성해 기네스 세계 기록에 등재되었다. 이는 다른 어떤 K-POP 가수(솔로 남성, 솔로 여성, 그룹)보다 빠른 속도였으며, 기네스 월드 레코드는 당시 NewJeans가 단 6곡으로 낸 성과임을 강조했다.",175
인기 및 기록 33,"2023년 5월 19일, 미국 포브스가 선정한 '아시아에서 영향력 있는 30세 이하 30인'에 선정됐다. NewJeans에 대해서는 ""K-POP의 또 다른 센세이션을 일으키기 위한 길목에 놓여있는 그룹. 멤버들이 루이비통, 구찌, 버버리 등 명품 브랜드의 엠버서더로 잇따라 계약을 맺으며 인기를 증명하고 있다""라고 평가했다.",181
인기 및 기록 34,"2023년 5월 23일, 미국 타임 '2023 차세대 리더'로 선정되었다. 미국 시사주간지 TIME은 매년 트렌드 세터들과 선구자들을 발표하고 있다. NewJeans는 23일 공개된 올해 차세대 리더 명단에서 K-POP 아티스트로는 유일하게 이름을 올렸다.",143
인기 및 기록 35,"2023년 5월 26일, 데뷔 10개월만에 세계 최대 음원 플랫폼 스포티파이에서 누적 스트리밍 횟수 15억회를 돌파했다. 26일 기준 7곡 중 5곡을 스포티파이 억대 스트리밍 반열에 올렸다.",106
인기 및 기록 36,"2023년 6월 29일, OMG가 세계 최대 음원 플랫폼 스포티파이에서 NewJeans의 곡 중 가장 먼저 스트리밍 횟수 4억 건을 돌파했다. 이어서 7월 27일 Ditto가 스트리밍 횟수 4억 건을 돌파했다.",117
인기 및 기록 37,"2023년 7월 14일, 써클차트 상반기 총 리뷰에서 Ditto가 디지털 차트 정상에 올랐다. 이어 OMG가 2위, Hype Boy가 3위를 차지했다. 뉴진스의 또 다른 데뷔곡 Attention은 7위를 기록했다. 이로써 뉴진스는 2023 상반기 디지털 차트 부문 톱10 에 4곡이나 올려놓는 저력을 발휘했다. 음원뿐만이 아닌 음반 부문에서도 뉴진스는 강세를 보였다. 2023년 상반기 가수별 피지컬 앨범 판매량 점유율을 살펴보면 뉴진스가 걸그룹 가운데 1위를 차지했다. 데뷔 앨범 'New Jeans' 2종과 싱글 앨범 'OMG' 2종이 올해 상반기에만 도합 220만 3,778장 판매됐다.",331
인기 및 기록 38,"7월 7일 발매된 선공개 싱글 Super Shy가 24시간 스트리밍 1,468,200회를 기록하여 멜론의 전당에 올랐다. 또한 7월 21일에 발매한 미니 2집 Get Up이 멜론 24시간 스트리밍 4,114,400회를 기록했다. 이는 역대 24시간 스트리밍 10위에 달하는 기록이다.",158
인기 및 기록 39,"2023년 8월 1일, 데뷔 1년만에 세계 최대 음원 플랫폼 스포티파이에서 누적 스트리밍 횟수 20억회를 돌파했다. 지금까지 발표한 총 15곡 중 6곡을 스포티파이 억대 스트리밍 반열에 올렸다.",108
인기 및 기록 40,"2023년 8월 2일, 빌보드가 2일(현지 시간) 발표한 최신 차트(7월30일~8월5일)에서 뉴진스의 미니 2집 '겟 업'(Get Up)이 메인 앨범차트인 '빌보드 200'에서 1위를 차지했다. 이로써 뉴진스는 BLACKPINK에 이어 '빌보드 200' 1위를 달성한 역대 두 번째 K-POP 걸그룹이 되었다. 또한 메인 싱글차트인 빌보드 Hot 100에 타이틀곡 전곡인 세 곡을 올려놓았다. '슈퍼 샤이'(Super Shy)는 '핫100' 48위에 올랐으며 'ETA'와 '쿨 위드 유'(Cool With You)는 각각 81위, 93위를 차지했다. 빌보드 핫 100에 3곡 이상 동시에 진입한 최초의 K팝 여성 아티스트가 되었으며 남녀 K-POP 아티스트를 통틀어도 방탄소년단(BTS)이 유일하다. 또한 전세계 걸그룹을 모두 합쳐서도 역대 4번째 기록이다.",424
인기 및 기록 41,"2023년, 영국의 유력 패션 매체인 더 비즈니스 오브 패션(The Business of Fashion)이 매년 발표하는 패션계에서 가장 영향력 있는 500인(BoF 500) 리스트에 선정되었다.[19] 2023년 명단에서 유일한 K-POP 여성 아티스트로 이름을 올렸으며[20], ""대세 그룹 뉴진스는 한국 팝스타를 따르는 강력한 팬덤을 활용하려는 패션 브랜드들에게 높은 잠재력을 갖고 있다""라며 패션계에서의 뉴진스의 위상과 영향력을 집중 조명했다. 또한 ""뉴진스의 빠른 성장세는 K-POP 업계에서는 이례적""이라고 평가하기도 했다.",299
인기 및 기록 42,"2023년 10월 25일, 스포티파이에 따르면 Super Shy가 10월 23일 기준 3억 106만 5169회 재생되었다고 밝혔다. 이로써 Super Shy는 역대 뉴진스 곡 가운데 최단 기간에 스포티파이 3억 스트리밍을 돌파했다.",129
인기 및 기록 43,"뉴진스는 데뷔 1년 만에 빌보드 뮤직 어워드(BBMA) 수상 후보로 지명되는 동시에 K-POP 아티스트 최다 노미네이트라는 쾌거를 이루었다. 뉴진스는 '톱 빌보드 글로벌 (미국 제외) 아티스트'(Top Billboard Global (Excl. U. S.) Artist, '톱 글로벌 K-POP 아티스트', '톱 K-POP 앨범'('겟 업'(Get Up)), '톱 K-POP 송'('디토'(Ditto), OMG) 등 4개 부문, 총 5개의 후보로 지명됐다.",255
인기 및 기록 44,"싱글 앨범 'OMG'가 발매 297일 만에 세계 최대 음원 플랫폼 스포티파이에서 합산 누적 10억 스트리밍을 기록했다. 2023년 10월 26일 동명의 타이틀곡 'OMG'는 5억2천558만4천886회, 수록곡 '디토'(Ditto)는 4억7천525만2천716회 재생됐다. 이로써 두 곡의 합산 누적 재생 수는 10억83만7천602회로 집계됐다.",191
